experiment,git_hash,tta_level,train_epochs,n_runs,mean_time,std_time,mean_acc,std_acc
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,0,11.0,10,5.127745320272446,2.3423169842915543,0.9340299785137176,0.0015026290197488808
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,0,12.0,10,5.513308679032326,2.296403212592531,0.9352899849414825,0.0013370458451205285
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,0,13.0,10,5.8717148581027985,2.3132619385687727,0.9357499659061432,0.0013656523535211225
grid_tta0_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,0,9.0,10,4.317161249661446,2.269509788054599,0.9306799829006195,0.001918211361118775
grid_tta0_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,0,9.9,10,4.722275842785836,2.363869801587818,0.9320999681949615,0.000743855456442256
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,1,11.0,10,5.169480107831955,2.4141672263948717,0.9403499722480774,0.0012295005699949665
grid_tta1_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,1,12.0,10,5.59252251727581,2.461732541897485,0.9416999816894531,0.0015173131634545257
grid_tta1_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,1,13.0,10,5.913166275596618,2.316034531721092,0.9421799719333649,0.0013709731576746428
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,1,9.0,10,4.387982234883308,2.335044780988907,0.9367499768733978,0.00153642028530101
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,1,9.9,10,4.811141028475761,2.5682941753449615,0.9383099734783172,0.0007766745389715795
grid_tta2_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,2,11.0,10,5.2975759839057925,2.434681390488908,0.9416699826717376,0.0007717906277555499
grid_tta2_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,2,12.0,10,5.688420761132241,2.4010944564997425,0.9432399809360504,0.001214897606290003
grid_tta2_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,2,13.0,10,6.033872963786125,2.3120984343211144,0.9436999738216401,0.0014460660669077339
grid_tta2_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,2,9.0,10,4.579469930100441,2.483918367093063,0.9376999795436859,0.001702944323952289
grid_tta2_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,2,9.9,10,4.877846592140198,2.3416457868203704,0.9396399736404419,0.0009264133034361128
